dataset,target_family,target_key,feature_set,validation_design,model_key,selected_candidate_id,selected_parameters_json,selected_count,mean_inner_macro_mae,mean_outer_macro_mae
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,elastic_net,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",10,13.228413228416596,14.297477994914866
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,elastic_net,elastic_net_02,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",22,13.077059206686473,13.76433695669757
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,elastic_net,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",43,13.177271745424557,12.335389211066984
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,random_forest,random_forest_02,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",8,12.142117357109395,12.480082688848315
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,random_forest,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",67,11.987440853729291,11.792230591081099
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_01,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",4,11.360835092133799,8.078439215386224
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_02,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}",18,11.444894179957183,9.815203272281956
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_03,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",13,11.464495564909907,13.57347940578035
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",38,11.384175778357005,12.069767071196113
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_05,"{""C"": 10.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",1,11.089668563702752,25.11561618941091
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,rbf_svr,rbf_svr_07,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",1,11.339154604135752,3.315237651054211
cell_viability,raw_outcome,cell_viability,core_physics,leave_one_publication_out,ridge,ridge_01,"{""alpha"": 100.0}",75,13.916062344132552,13.474597425568588
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,elastic_net,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",3,13.268586354734344,12.336929411327263
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,elastic_net,elastic_net_02,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",5,13.188922098188863,13.462534614099994
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,elastic_net,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",17,13.367266997861467,13.692292767197232
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,random_forest,random_forest_01,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",2,12.942693772990737,11.3403000519432
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,random_forest,random_forest_02,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",4,12.534703224627318,13.789714078098738
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,random_forest,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",19,11.915013126888974,12.136968690160055
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,rbf_svr,rbf_svr_01,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",1,11.424865299811364,10.18192596554998
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,rbf_svr,rbf_svr_02,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}",7,11.334546267938107,12.238842658201316
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,rbf_svr,rbf_svr_03,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",4,11.525199816739,11.950280673308844
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,rbf_svr,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",12,11.564069675637732,11.297692745200834
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,rbf_svr,rbf_svr_05,"{""C"": 10.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",1,11.606427313046904,12.546175017667952
cell_viability,raw_outcome,cell_viability,core_physics,publication_grouped,ridge,ridge_01,"{""alpha"": 100.0}",25,14.324426967231457,14.173506640662884
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,elastic_net,elastic_net_05,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",2,11.632905987317312,12.49441699482382
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,elastic_net,elastic_net_06,"{""alpha"": 0.1, ""l1_ratio"": 0.1}",4,12.103542832101585,11.688389399659336
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,elastic_net,elastic_net_07,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",16,11.965066516059236,11.639164162763207
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,elastic_net,elastic_net_08,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",2,11.632532571675892,12.319419787745435
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,elastic_net,elastic_net_09,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",1,11.607021975216012,12.126144559689662
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,random_forest,random_forest_05,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",5,8.358630118279272,8.34928583226867
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,random_forest,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",20,8.472871658738896,7.751815793815804
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,rbf_svr,rbf_svr_09,"{""C"": 100.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",22,8.709465422818374,8.308105191791993
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,rbf_svr,rbf_svr_11,"{""C"": 100.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",3,8.973477042797647,8.041772264268031
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,ridge,ridge_01,"{""alpha"": 100.0}",3,12.249273351398733,11.560088196463193
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,ridge,ridge_02,"{""alpha"": 10.0}",4,11.661969033886777,12.359404117826456
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,ridge,ridge_03,"{""alpha"": 1.0}",7,12.068109376906632,11.707866265641988
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,ridge,ridge_04,"{""alpha"": 0.1}",6,11.93593113497036,11.656951713136332
cell_viability,raw_outcome,cell_viability,core_physics,random_rowwise,ridge,ridge_05,"{""alpha"": 0.01}",5,11.729127008777052,11.827851544527123
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,elastic_net,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",31,12.836088750186535,13.587811396231407
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,elastic_net,elastic_net_02,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",22,12.73040607612337,13.198552796027885
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,elastic_net,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",21,14.229948272454246,11.409964217446465
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,elastic_net,elastic_net_05,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",1,14.203037207822533,3.234880651298345
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,random_forest,random_forest_03,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",1,11.097563771123204,9.891963333768048
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,random_forest,random_forest_04,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",2,11.22989996970978,13.685963311668658
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,random_forest,random_forest_05,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",1,11.28453153050488,16.00088516269841
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,random_forest,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",71,11.308300009191743,11.066272085115829
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,rbf_svr,rbf_svr_02,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}",46,11.26618838762999,11.607387153251382
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,rbf_svr,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",29,11.314753777462569,10.871227505656604
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,ridge,ridge_01,"{""alpha"": 100.0}",73,18.4427213574893,13.107687336860078
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,ridge,ridge_02,"{""alpha"": 10.0}",1,18.70514370252612,13.298408544345651
cell_viability,raw_outcome,cell_viability,full_retrospective,leave_one_publication_out,ridge,ridge_03,"{""alpha"": 1.0}",1,22.81551320388598,21.968754107852224
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,elastic_net,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",9,13.371556711850296,13.357185438353788
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,elastic_net,elastic_net_02,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",7,22.746054721692452,13.309900038053353
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,elastic_net,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",9,28.947220399145735,12.322346385935678
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,random_forest,random_forest_02,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",3,12.34083139636976,10.931841499134821
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,random_forest,random_forest_04,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",2,11.121764873507516,14.373797624734985
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,random_forest,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",20,11.318034279066257,11.469169025885353
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,rbf_svr,rbf_svr_01,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",2,11.479387921619924,10.627389872852547
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,rbf_svr,rbf_svr_02,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}",11,11.22718325393227,11.71543054812514
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,rbf_svr,rbf_svr_03,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",1,11.16523413406246,11.48307593357449
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,rbf_svr,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",11,11.384974043353795,11.24927823454813
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,ridge,ridge_01,"{""alpha"": 100.0}",23,38.64455956025954,13.796376899162995
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,ridge,ridge_02,"{""alpha"": 10.0}",1,19.383038313279823,21.458875759844272
cell_viability,raw_outcome,cell_viability,full_retrospective,publication_grouped,ridge,ridge_03,"{""alpha"": 1.0}",1,39.67795072515857,13.558834978651962
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,elastic_net,elastic_net_04,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",11,10.78478548968244,10.91754032202002
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,elastic_net,elastic_net_05,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",4,11.093643223902347,10.386776179597597
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,elastic_net,elastic_net_06,"{""alpha"": 0.1, ""l1_ratio"": 0.1}",2,11.36063907129601,9.68299998941157
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,elastic_net,elastic_net_07,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",7,10.630034298193987,11.052167452601081
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,elastic_net,elastic_net_08,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1,10.537037590016794,11.715856538729444
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,random_forest,random_forest_03,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",2,8.323936859346443,7.755051296213749
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,random_forest,random_forest_05,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",20,8.105639772324086,7.503093927206938
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,random_forest,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",3,8.04976312426185,8.019345626177678
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,rbf_svr,rbf_svr_09,"{""C"": 100.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",20,8.700370328012829,7.81209311531096
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,rbf_svr,rbf_svr_11,"{""C"": 100.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",5,8.364411903773341,8.649113063033534
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,ridge,ridge_01,"{""alpha"": 100.0}",7,10.896202857216634,11.018899609536504
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,ridge,ridge_02,"{""alpha"": 10.0}",8,11.013344884024503,10.726594144565066
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,ridge,ridge_03,"{""alpha"": 1.0}",8,10.86072213111792,11.019981827566662
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,ridge,ridge_04,"{""alpha"": 0.1}",1,9.618430135186518,11.112887500210096
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,ridge,ridge_05,"{""alpha"": 0.01}",1,11.146810697864648,11.567132258198768
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,elastic_net,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",22,13.084408640076457,14.670184698453347
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,elastic_net,elastic_net_02,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",24,12.725858130038036,12.2376458544989
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,elastic_net,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",28,13.929227624232592,11.766844547453172
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,elastic_net,elastic_net_04,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",1,14.001777640486658,4.853033893339365
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,random_forest,random_forest_04,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",1,11.11664535563636,16.295778066934588
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,random_forest,random_forest_05,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",1,11.357429731632273,3.895923434343446
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,random_forest,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",73,11.337149199610716,11.208276171115607
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,rbf_svr,rbf_svr_02,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}",29,11.32151639799813,13.238336049639935
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,rbf_svr,rbf_svr_03,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",1,11.07184637096772,12.29269658202523
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,rbf_svr,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",45,11.3565687617361,10.206148930600248
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,ridge,ridge_01,"{""alpha"": 100.0}",72,16.510419325332148,13.042922626214843
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,ridge,ridge_02,"{""alpha"": 10.0}",1,17.11504874549113,5.532696186397885
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,ridge,ridge_03,"{""alpha"": 1.0}",1,112.11523664273304,22.625
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,ridge,ridge_05,"{""alpha"": 0.01}",1,27.871066828679663,22.6001860592548
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,elastic_net,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",11,15.560293284738401,13.407273045943924
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,elastic_net,elastic_net_02,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",4,13.712980055099376,13.950361262231048
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,elastic_net,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",10,25.682817745032775,12.490396850592651
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,random_forest,random_forest_03,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",1,10.891161031670464,14.326180093884965
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,random_forest,random_forest_04,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",1,11.595506474226069,15.129642052789126
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,random_forest,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",23,11.46392140335767,11.463071609717941
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,rbf_svr,rbf_svr_02,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}",8,11.263785312258582,12.163120715949006
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,rbf_svr,rbf_svr_03,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",2,11.254724906934989,11.063231332180788
